2MASS J07193126+3249482|All|PM I07195+3249  | 35495|2455| 652|1|07 19 31.3|+32 49 48| 0.0516|VL07| 0.432|-0.346|10.15|HIPPA|11.51|10.17|10.82| 9.48| 8.75| 7.184| 6.541| 6.376|A|M1| | 0.795| 0.748| 0.887| -3.96| 1.183| 0.811| -0.52|     |3941|PHX| | 0.57| | 0.070| | 0.62|07193126+3249482|0
2MASS J07272450+0513329|All|PM I07274+0513  | 36208| 173|3208|1|07 27 24.5|+05 13 32| 0.2630|VL07| 0.573|-3.694| 9.81|HIPPA|11.45|10.16|10.64| 9.60| 8.22| 5.714| 5.219| 4.857|A|M4|S| 0.451| 0.450| 0.739|-12.77| 1.603| 1.971| -0.40| 0.02|3317|PHX| | 0.25| | 0.008| | 0.23|07272450+0513329|0
2MASS J07362513+0704431|All|PM I07364+0704  |      |    |    | |07 36 25.1|+07 04 43| 0.1166|He06| 0.230|-0.304|13.26|APASS|14.99|13.26|13.99|12.59|10.69| 8.180| 7.611| 7.282|A|M6| | 0.353| 0.336| 0.619|-18.34| 2.455| 3.693|  4.75|     |2980|PHX|-| 0.19|-| 0.003|-| 0.14|07362513+0704431|0
2MASS J07444018+0333089|All|PM I07446+0333  | 37766| 183|2190|1|07 44 40.2|+03 33 08| 0.1679|VL07|-0.345|-0.451|11.20|HIPPA|12.38|11.12|11.76|10.49| 8.93| 6.581| 6.005| 5.698|A|M5| | 0.372| 0.393| 0.655|-13.65| 2.092| 3.255|  7.31|     |3242|PHX| | 0.19| | 0.004| | 0.14|07444018+0333089|0
2MASS J07515465-0000117|All|PM I07519-0000  |      |    |    | |07 51 54.7|-00 00 11| 0.1140|VA95| 0.266|-0.733|13.26|APASS|14.89|13.26|13.93|12.65|10.85| 8.496| 7.939| 7.661|A|M5|S| 0.394| 0.411| 0.722|-14.92| 1.447| 2.557| -0.44| 0.02|3094|PHX|-| 0.19|-| 0.003|-| 0.14|07515465-0000117|0
2MASS J07565395-4538145|All|PM I07568-4538  |      |    |    | |07 56 53.9|-45 38 14|       |    |-0.191| 0.686|12.35|APASS|13.79|12.35|13.05|11.71|10.57| 8.762| 8.226| 8.000|B|M2| | 0.550| 0.529| 0.783| -5.76| 0.510| 1.191| -0.22|     |3436|PHX| | 0.34| | 0.016| | 0.34|07565395-4538145|0
2MASS J07581269+4118134|All|PM I07582+4118  | 38956|    |    | |07 58 12.7|+41 18 13| 0.1161|VL07| 0.211|-0.691|11.99|HIPPA|13.67|12.08|12.77|11.38| 9.92| 7.734| 7.133| 6.878|A|M4| | 0.417| 0.450| 0.714|-10.78| 1.628| 2.450| -0.15|     |3197|PHX|-| 0.19|-| 0.003|-| 0.14|07581269+4118134|0
2MASS J08115757+0846220|All|PM I08119+0846  |      |    |    | |08 11 57.6|+08 46 22| 0.1487|Di14| 1.099|-5.123|12.86|APASS|14.57|12.86|13.59|12.22|10.62| 8.424| 7.927| 7.660|A|M4|S| 0.407| 0.380| 0.651|-16.71| 2.125| 3.077| -0.27|-0.11|3152|PHX|-| 0.19|-| 0.003|-| 0.14|08115757+0846220|0
2MASS J08124088-2133056|All|PM I08126-2133  |      |    |    | |08 12 40.9|-21 33 05| 0.1256|He06| 0.009|-0.717|12.19|APASS|13.81|12.19|12.89|11.49| 9.86| 7.601| 6.964| 6.705|A|M5|M| 0.417| 0.440| 0.739|-11.69| 2.173| 2.397| -0.38| 0.26|3212|PHX|-| 0.19|-| 0.003|-| 0.14|08124088-2133056|2
2MASS J08130849-1355006|All|PM I08131-1355  | 40239|5438| 745|1|08 13 08.5|-13 55 01| 0.0485|VL07|-0.186|-0.531| 9.47|HIPPA|10.80| 9.80|10.49| 9.51| 8.38| 6.638| 6.039| 5.815|A|M0|E| 0.869| 0.815| 0.911| -2.64| 0.736| 0.581| -0.59|-0.28|3920|PHX| | 0.57| | 0.067| | 0.61|08130849-1355006|0
2MASS J08160798+0118091|All|PM I08161+0118  | 40501| 196|1309|1|08 16 08.0|+01 18 09| 0.1096|VL07|-0.374| 0.060|10.14|HIPPA|11.65|10.23|10.81| 9.57| 8.40| 6.625| 6.036| 5.766|A|M2| | 0.591| 0.568| 0.801| -6.69| 0.789| 1.138| -0.34|     |3598|PHX| | 0.44| | 0.029| | 0.46|08160798+0118091|0
